
=====================================================================================
PROCESSANDO dN/dpT: |eta| < 0.5
=====================================================================================
  [Sanidade OK | Soft - Only FSR | Charged | eta_2p0]: N_ev = 1000000 | Integral dN/dpT = 11.3749 | Media <N> (Mult) = 11.3750 (Dif: 0.00%)
  [Sanidade OK | Hard - Only FSR | Charged | eta_2p0]: N_ev = 1000000 | Integral dN/dpT = 8.9660 | Media <N> (Mult) = 8.9661 (Dif: 0.00%)
  [Sanidade OK | Soft - No Extra | Charged | eta_2p0]: N_ev = 1000000 | Integral dN/dpT = 10.5519 | Media <N> (Mult) = 10.5518 (Dif: 0.00%)
  [Sanidade OK | Hard - No Extra | Charged | eta_2p0]: N_ev = 1000008 | Integral dN/dpT = 8.7149 | Media <N> (Mult) = 8.7150 (Dif: 0.00%)
  [Sanidade OK | Soft - All Physics | D0_mesons | eta_2p0]: N_ev = 999996 | Integral dN/dpT = 0.0537 | Media <N> (Mult) = 0.0537 (Dif: 0.00%)
  [Sanidade OK | Hard - All Physics | D0_mesons | eta_2p0]: N_ev = 1000001 | Integral dN/dpT = 0.0106 | Media <N> (Mult) = 0.0106 (Dif: 0.00%)
  [Sanidade OK | Soft - No MPI | D0_mesons | eta_2p0]: N_ev = 1000002 | Integral dN/dpT = 0.0349 | Media <N> (Mult) = 0.0349 (Dif: 0.00%)
  [Sanidade OK | Hard - No MPI | D0_mesons | eta_2p0]: N_ev = 1000004 | Integral dN/dpT = 0.0057 | Media <N> (Mult) = 0.0057 (Dif: 0.00%)
  [Sanidade OK | Soft - Only MPI | D0_mesons | eta_2p0]: N_ev = 1000001 | Integral dN/dpT = 0.0178 | Media <N> (Mult) = 0.0178 (Dif: 0.00%)
  [Sanidade OK | Hard - Only MPI | D0_mesons | eta_2p0]: N_ev = 999996 | Integral dN/dpT = 0.0042 | Media <N> (Mult) = 0.0042 (Dif: 0.00%)
  [Sanidade OK | Soft - Only ISR | D0_mesons | eta_2p0]: N_ev = 999996 | Integral dN/dpT = 0.0166 | Media <N> (Mult) = 0.0166 (Dif: 0.00%)
  [Sanidade OK | Hard - Only ISR | D0_mesons | eta_2p0]: N_ev = 1000000 | Integral dN/dpT = 0.0032 | Media <N> (Mult) = 0.0032 (Dif: 0.00%)
  [Sanidade OK | Soft - Only FSR | D0_mesons | eta_2p0]: N_ev = 1000000 | Integral dN/dpT = 0.0188 | Media <N> (Mult) = 0.0188 (Dif: 0.00%)
  [Sanidade OK | Hard - Only FSR | D0_mesons | eta_2p0]: N_ev = 1000000 | Integral dN/dpT = 0.0034 | Media <N> (Mult) = 0.0034 (Dif: 0.00%)
  [Sanidade OK | Soft - No Extra | D0_mesons | eta_2p0]: N_ev = 999998 | Integral dN/dpT = 0.0104 | Media <N> (Mult) = 0.0104 (Dif: 0.00%)
  [Sanidade OK | Hard - No Extra | D0_mesons | eta_2p0]: N_ev = 1000001 | Integral dN/dpT = 0.0024 | Media <N> (Mult) = 0.0024 (Dif: 0.00%)
  [Sanidade OK | Soft - All Physics | D_mesons | eta_2p0]: N_ev = 999999 | Integral dN/dpT = 0.0273 | Media <N> (Mult) = 0.0273 (Dif: 0.00%)
  [Sanidade OK | Hard - All Physics | D_mesons | eta_2p0]: N_ev = 1000001 | Integral dN/dpT = 0.0055 | Media <N> (Mult) = 0.0055 (Dif: 0.00%)
  [Sanidade OK | Soft - No MPI | D_mesons | eta_2p0]: N_ev = 999998 | Integral dN/dpT = 0.0177 | Media <N> (Mult) = 0.0177 (Dif: 0.00%)
  [Sanidade OK | Hard - No MPI | D_mesons | eta_2p0]: N_ev = 1000005 | Integral dN/dpT = 0.0030 | Media <N> (Mult) = 0.0030 (Dif: 0.00%)
  [Sanidade OK | Soft - Only MPI | D_mesons | eta_2p0]: N_ev = 1000002 | Integral dN/dpT = 0.0091 | Media <N> (Mult) = 0.0091 (Dif: 0.00%)
  [Sanidade OK | Hard - Only MPI | D_mesons | eta_2p0]: N_ev = 999998 | Integral dN/dpT = 0.0021 | Media <N> (Mult) = 0.0021 (Dif: 0.00%)
  [Sanidade OK | Soft - Only ISR | D_mesons | eta_2p0]: N_ev = 1000003 | Integral dN/dpT = 0.0085 | Media <N> (Mult) = 0.0085 (Dif: 0.00%)
  [Sanidade OK | Hard - Only ISR | D_mesons | eta_2p0]: N_ev = 1000000 | Integral dN/dpT = 0.0017 | Media <N> (Mult) = 0.0017 (Dif: 0.00%)
  [Sanidade OK | Soft - Only FSR | D_mesons | eta_2p0]: N_ev = 999996 | Integral dN/dpT = 0.0096 | Media <N> (Mult) = 0.0096 (Dif: 0.00%)
  [Sanidade OK | Hard - Only FSR | D_mesons | eta_2p0]: N_ev = 1000002 | Integral dN/dpT = 0.0018 | Media <N> (Mult) = 0.0018 (Dif: 0.00%)
  [Sanidade OK | Soft - No Extra | D_mesons | eta_2p0]: N_ev = 1000003 | Integral dN/dpT = 0.0053 | Media <N> (Mult) = 0.0053 (Dif: 0.00%)
  [Sanidade OK | Hard - No Extra | D_mesons | eta_2p0]: N_ev = 999996 | Integral dN/dpT = 0.0012 | Media <N> (Mult) = 0.0012 (Dif: 0.00%)
  [Sanidade OK | Soft - All Physics | Ds_mesons | eta_2p0]: N_ev = 999999 | Integral dN/dpT = 0.0102 | Media <N> (Mult) = 0.0102 (Dif: 0.00%)
  [Sanidade OK | Hard - All Physics | Ds_mesons | eta_2p0]: N_ev = 1000001 | Integral dN/dpT = 0.0018 | Media <N> (Mult) = 0.0018 (Dif: 0.00%)
  [Sanidade OK | Soft - No MPI | Ds_mesons | eta_2p0]: N_ev = 1000003 | Integral dN/dpT = 0.0066 | Media <N> (Mult) = 0.0066 (Dif: 0.00%)
  [Sanidade OK | Hard - No MPI | Ds_mesons | eta_2p0]: N_ev = 999998 | Integral dN/dpT = 0.0011 | Media <N> (Mult) = 0.0011 (Dif: 0.00%)
  [Sanidade OK | Soft - Only MPI | Ds_mesons | eta_2p0]: N_ev = 1000000 | Integral dN/dpT = 0.0033 | Media <N> (Mult) = 0.0033 (Dif: 0.00%)
  [Sanidade OK | Hard - Only MPI | Ds_mesons | eta_2p0]: N_ev = 1000002 | Integral dN/dpT = 0.0008 | Media <N> (Mult) = 0.0008 (Dif: 0.00%)
  [Sanidade OK | Soft - Only ISR | Ds_mesons | eta_2p0]: N_ev = 999997 | Integral dN/dpT = 0.0033 | Media <N> (Mult) = 0.0033 (Dif: 0.00%)
  [Sanidade OK | Hard - Only ISR | Ds_mesons | eta_2p0]: N_ev = 999997 | Integral dN/dpT = 0.0006 | Media <N> (Mult) = 0.0006 (Dif: 0.00%)
