
=====================================================================================
 PROCESSANDO, NORMALIZANDO E VALIDANDO: |eta| < 0.5 | pT: global
=====================================================================================
  [Sanidade OK | Hard - No Extra | Ds_mesons | eta_0p5]: N_ev = 999995 | Integral dN/deta = 0.0001 | Média <N> (Mult) = 0.0001 (Dif: 0.00%)

=====================================================================================
 PROCESSANDO, NORMALIZANDO E VALIDANDO: |eta| < 0.5 | pT: pt_1_2
=====================================================================================
  [Sanidade OK | Soft - All Physics | Charged | eta_0p5_pt_1_2]: N_ev = 999997 | Integral dN/deta = 0.6234 | Média <N> (Mult) = 0.6234 (Dif: 0.00%)
  [Sanidade OK | Hard - All Physics | Charged | eta_0p5_pt_1_2]: N_ev = 1000000 | Integral dN/deta = 0.1411 | Média <N> (Mult) = 0.1411 (Dif: 0.00%)
  [Sanidade OK | Soft - No MPI | Charged | eta_0p5_pt_1_2]: N_ev = 999997 | Integral dN/deta = 0.3275 | Média <N> (Mult) = 0.3275 (Dif: 0.00%)
  [Sanidade OK | Hard - No MPI | Charged | eta_0p5_pt_1_2]: N_ev = 999996 | Integral dN/deta = 0.0741 | Média <N> (Mult) = 0.0741 (Dif: 0.00%)
  [Sanidade OK | Soft - Only MPI | Charged | eta_0p5_pt_1_2]: N_ev = 999996 | Integral dN/deta = 0.3476 | Média <N> (Mult) = 0.3476 (Dif: 0.00%)
  [Sanidade OK | Hard - Only MPI | Charged | eta_0p5_pt_1_2]: N_ev = 1000004 | Integral dN/deta = 0.0892 | Média <N> (Mult) = 0.0892 (Dif: 0.00%)
  [Sanidade OK | Soft - Only ISR | Charged | eta_0p5_pt_1_2]: N_ev = 1000000 | Integral dN/deta = 0.2702 | Média <N> (Mult) = 0.2702 (Dif: 0.00%)
  [Sanidade OK | Hard - Only ISR | Charged | eta_0p5_pt_1_2]: N_ev = 999997 | Integral dN/deta = 0.0660 | Média <N> (Mult) = 0.0660 (Dif: 0.00%)
  [Sanidade OK | Soft - Only FSR | Charged | eta_0p5_pt_1_2]: N_ev = 1000008 | Integral dN/deta = 0.2190 | Média <N> (Mult) = 0.2190 (Dif: 0.00%)
  [Sanidade OK | Hard - Only FSR | Charged | eta_0p5_pt_1_2]: N_ev = 1000001 | Integral dN/deta = 0.0570 | Média <N> (Mult) = 0.0570 (Dif: 0.00%)
  [Sanidade OK | Soft - No Extra | Charged | eta_0p5_pt_1_2]: N_ev = 1000001 | Integral dN/deta = 0.1918 | Média <N> (Mult) = 0.1918 (Dif: 0.00%)
  [Sanidade OK | Hard - No Extra | Charged | eta_0p5_pt_1_2]: N_ev = 1000005 | Integral dN/deta = 0.0534 | Média <N> (Mult) = 0.0534 (Dif: 0.00%)
  [Sanidade OK | Soft - All Physics | D0_mesons | eta_0p5_pt_1_2]: N_ev = 999995 | Integral dN/deta = 0.0031 | Média <N> (Mult) = 0.0031 (Dif: 0.00%)
  [Sanidade OK | Hard - All Physics | D0_mesons | eta_0p5_pt_1_2]: N_ev = 1000000 | Integral dN/deta = 0.0008 | Média <N> (Mult) = 0.0008 (Dif: 0.00%)
  [Sanidade OK | Soft - No MPI | D0_mesons | eta_0p5_pt_1_2]: N_ev = 1000002 | Integral dN/deta = 0.0019 | Média <N> (Mult) = 0.0019 (Dif: 0.00%)
  [Sanidade OK | Hard - No MPI | D0_mesons | eta_0p5_pt_1_2]: N_ev = 1000002 | Integral dN/deta = 0.0004 | Média <N> (Mult) = 0.0004 (Dif: 0.00%)
  [Sanidade OK | Soft - Only MPI | D0_mesons | eta_0p5_pt_1_2]: N_ev = 999997 | Integral dN/deta = 0.0008 | Média <N> (Mult) = 0.0008 (Dif: 0.00%)
  [Sanidade OK | Hard - Only MPI | D0_mesons | eta_0p5_pt_1_2]: N_ev = 1000001 | Integral dN/deta = 0.0003 | Média <N> (Mult) = 0.0003 (Dif: 0.00%)
  [Sanidade OK | Soft - Only ISR | D0_mesons | eta_0p5_pt_1_2]: N_ev = 1000003 | Integral dN/deta = 0.0006 | Média <N> (Mult) = 0.0006 (Dif: 0.00%)
  [Sanidade OK | Hard - Only ISR | D0_mesons | eta_0p5_pt_1_2]: N_ev = 1000004 | Integral dN/deta = 0.0002 | Média <N> (Mult) = 0.0002 (Dif: 0.00%)
  [Sanidade OK | Soft - Only FSR | D0_mesons | eta_0p5_pt_1_2]: N_ev = 1000000 | Integral dN/deta = 0.0007 | Média <N> (Mult) = 0.0007 (Dif: 0.00%)
  [Sanidade OK | Hard - Only FSR | D0_mesons | eta_0p5_pt_1_2]: N_ev = 1000001 | Integral dN/deta = 0.0003 | Média <N> (Mult) = 0.0003 (Dif: 0.00%)
  [Sanidade OK | Soft - No Extra | D0_mesons | eta_0p5_pt_1_2]: N_ev = 999997 | Integral dN/deta = 0.0003 | Média <N> (Mult) = 0.0003 (Dif: 0.00%)
  [Sanidade OK | Hard - No Extra | D0_mesons | eta_0p5_pt_1_2]: N_ev = 1000004 | Integral dN/deta = 0.0002 | Média <N> (Mult) = 0.0002 (Dif: 0.00%)
  [Sanidade OK | Soft - All Physics | D_mesons | eta_0p5_pt_1_2]: N_ev = 1000001 | Integral dN/deta = 0.0016 | Média <N> (Mult) = 0.0016 (Dif: 0.00%)
  [Sanidade OK | Hard - All Physics | D_mesons | eta_0p5_pt_1_2]: N_ev = 1000002 | Integral dN/deta = 0.0004 | Média <N> (Mult) = 0.0004 (Dif: 0.00%)
  [Sanidade OK | Soft - No MPI | D_mesons | eta_0p5_pt_1_2]: N_ev = 999997 | Integral dN/deta = 0.0009 | Média <N> (Mult) = 0.0009 (Dif: 0.00%)
